Sensor 1 | count: 3 | 11.9°C | LQI: 77 | dBm: -71.55 | short addr: 00:28
Sensor 1 | count: 4 | 11.9°C | LQI: 67 | dBm: -75.05 | short addr: 00:28
Sensor 1 | count: 5 | 11.9°C | LQI: 56 | dBm: -78.9 | short addr: 00:28
Sensor 1 | count: 6 | 11.9°C | LQI: 70 | dBm: -74.0 | short addr: 00:28
Sensor 1 | count: 7 | 11.9°C | LQI: 59 | dBm: -77.85 | short addr: 00:28
Sensor 1 | count: 8 | 11.9°C | LQI: 59 | dBm: -77.85 | short addr: 00:28
Sensor 1 | count: 9 | 11.9°C | LQI: 61 | dBm: -77.15 | short addr: 00:28
Sensor 1 | count: 10 | 11.9°C | LQI: 65 | dBm: -75.75 | short addr: 00:28
Sensor 1 | count: 11 | 11.9°C | LQI: 57 | dBm: -78.55 | short addr: 00:28
Sensor 1 | count: 12 | 11.9°C | LQI: 56 | dBm: -78.9 | short addr: 00:28
Sensor 1 | count: 13 | 11.9°C | LQI: 57 | dBm: -78.55 | short addr: 00:28
Sensor 1 | count: 14 | 11.9°C | LQI: 60 | dBm: -77.5 | short addr: 00:28
Sensor 1 | count: 15 | 11.9°C | LQI: 77 | dBm: -71.55 | short addr: 00:28
Sensor 1 | count: 16 | 11.9°C | LQI: 56 | dBm: -78.9 | short addr: 00:28
Sensor 1 | count: 17 | 11.9°C | LQI: 69 | dBm: -74.35 | short addr: 00:28
Sensor 1 | count: 18 | 11.9°C | LQI: 77 | dBm: -71.55 | short addr: 00:28
Sensor 1 | count: 19 | 11.9°C | LQI: 59 | dBm: -77.85 | short addr: 00:28
Sensor 1 | count: 20 | 11.9°C | LQI: 56 | dBm: -78.9 | short addr: 00:28
Sensor 1 | count: 21 | 11.9°C | LQI: 74 | dBm: -72.6 | short addr: 00:28
Sensor 1 | count: 22 | 11.9°C | LQI: 65 | dBm: -75.75 | short addr: 00:28
Sensor 1 | count: 23 | 11.9°C | LQI: 72 | dBm: -73.3 | short addr: 00:28
Sensor 1 | count: 24 | 11.9°C | LQI: 71 | dBm: -73.65 | short addr: 00:28
Sensor 1 | count: 25 | 11.9°C | LQI: 76 | dBm: -71.9 | short addr: 00:28
Sensor 1 | count: 26 | 11.9°C | LQI: 72 | dBm: -73.3 | short addr: 00:28
Sensor 1 | count: 27 | 11.9°C | LQI: 79 | dBm: -70.85 | short addr: 00:28
Sensor 1 | count: 28 | 11.9°C | LQI: 76 | dBm: -71.9 | short addr: 00:28
Sensor 1 | count: 29 | 11.9°C | LQI: 61 | dBm: -77.15 | short addr: 00:28
Sensor 1 | count: 30 | 11.9°C | LQI: 77 | dBm: -71.55 | short addr: 00:28
Sensor 1 | count: 31 | 11.9°C | LQI: 66 | dBm: -75.4 | short addr: 00:28
Sensor 1 | count: 32 | 11.9°C | LQI: 68 | dBm: -74.7 | short addr: 00:28
Sensor 1 | count: 33 | 11.9°C | LQI: 78 | dBm: -71.2 | short addr: 00:28
Sensor 1 | count: 34 | 11.9°C | LQI: 77 | dBm: -71.55 | short addr: 00:28
Sensor 1 | count: 35 | 11.9°C | LQI: 76 | dBm: -71.9 | short addr: 00:28
Sensor 1 | count: 36 | 11.9°C | LQI: 57 | dBm: -78.55 | short addr: 00:28
Sensor 1 | count: 37 | 11.9°C | LQI: 55 | dBm: -79.25 | short addr: 00:28
Sensor 1 | count: 38 | 11.9°C | LQI: 70 | dBm: -74.0 | short addr: 00:28
