 Sensor 1 | count: 5 | 11.90°C | LQI: 100 |dbm: -63.5| short addr: 00:8f
 Sensor 1 | count: 6 | 11.90°C | LQI: 97 |dbm: -64.55| short addr: 00:8f
 Sensor 1 | count: 7 | 11.90°C | LQI: 94 |dbm: -65.6| short addr: 00:8f
 Sensor 1 | count: 8 | 11.90°C | LQI: 91 |dbm: -66.65| short addr: 00:8f
 Sensor 1 | count: 9 | 11.90°C | LQI: 82 |dbm: -69.8| short addr: 00:8f
 Sensor 1 | count: 10 | 11.90°C | LQI: 91 |dbm: -66.65| short addr: 00:8f
 Sensor 1 | count: 11 | 11.90°C | LQI: 88 |dbm: -67.7| short addr: 00:8f
 Sensor 1 | count: 12 | 11.90°C | LQI: 91 |dbm: -66.65| short addr: 00:8f
 Sensor 1 | count: 13 | 11.90°C | LQI: 94 |dbm: -65.6| short addr: 00:8f
 Sensor 1 | count: 14 | 11.90°C | LQI: 91 |dbm: -66.65| short addr: 00:8f
 Sensor 1 | count: 15 | 11.90°C | LQI: 91 |dbm: -66.65| short addr: 00:8f
 Sensor 1 | count: 16 | 11.90°C | LQI: 91 |dbm: -66.65| short addr: 00:8f
 Sensor 1 | count: 17 | 11.90°C | LQI: 94 |dbm: -65.6| short addr: 00:8f
 Sensor 1 | count: 18 | 11.90°C | LQI: 97 |dbm: -64.55| short addr: 00:8f
 Sensor 1 | count: 19 | 11.90°C | LQI: 97 |dbm: -64.55| short addr: 00:8f
 Sensor 1 | count: 20 | 11.90°C | LQI: 118 |dbm: -57.2| short addr: 00:8f
 Sensor 1 | count: 21 | 11.90°C | LQI: 124 |dbm: -55.1| short addr: 00:8f
 Sensor 1 | count: 22 | 11.90°C | LQI: 115 |dbm: -58.25| short addr: 00:8f
 Sensor 1 | count: 23 | 11.90°C | LQI: 115 |dbm: -58.25| short addr: 00:8f
 Sensor 1 | count: 24 | 11.90°C | LQI: 106 |dbm: -61.4| short addr: 00:8f
 Sensor 1 | count: 25 | 11.90°C | LQI: 106 |dbm: -61.4| short addr: 00:8f
