 Sensor 1 | count: 93 | 11.90°C | LQI: 115 |dbm: -58.25| short addr: 00:8f
 Sensor 1 | count: 94 | 11.90°C | LQI: 115 |dbm: -58.25| short addr: 00:8f
 Sensor 1 | count: 95 | 11.90°C | LQI: 112 |dbm: -59.3| short addr: 00:8f
 Sensor 1 | count: 96 | 11.90°C | LQI: 109 |dbm: -60.35| short addr: 00:8f
 Sensor 1 | count: 97 | 11.90°C | LQI: 112 |dbm: -59.3| short addr: 00:8f
 Sensor 1 | count: 98 | 11.90°C | LQI: 85 |dbm: -68.75| short addr: 00:8f
 Sensor 1 | count: 99 | 11.90°C | LQI: 70 |dbm: -74.0| short addr: 00:8f
 Sensor 1 | count: 100 | 11.90°C | LQI: 103 |dbm: -62.45| short addr: 00:8f
 Sensor 1 | count: 101 | 11.90°C | LQI: 109 |dbm: -60.35| short addr: 00:8f
 Sensor 1 | count: 102 | 11.90°C | LQI: 109 |dbm: -60.35| short addr: 00:8f
 Sensor 1 | count: 103 | 11.90°C | LQI: 109 |dbm: -60.35| short addr: 00:8f
 Sensor 1 | count: 104 | 11.90°C | LQI: 109 |dbm: -60.35| short addr: 00:8f
 Sensor 1 | count: 105 | 11.90°C | LQI: 91 |dbm: -66.65| short addr: 00:8f
 Sensor 1 | count: 106 | 11.90°C | LQI: 100 |dbm: -63.5| short addr: 00:8f
 Sensor 1 | count: 107 | 11.90°C | LQI: 109 |dbm: -60.35| short addr: 00:8f
 Sensor 1 | count: 108 | 11.90°C | LQI: 109 |dbm: -60.35| short addr: 00:8f
 Sensor 1 | count: 109 | 11.90°C | LQI: 109 |dbm: -60.35| short addr: 00:8f
 Sensor 1 | count: 110 | 11.90°C | LQI: 109 |dbm: -60.35| short addr: 00:8f
 Sensor 1 | count: 111 | 11.90°C | LQI: 109 |dbm: -60.35| short addr: 00:8f
 Sensor 1 | count: 112 | 11.90°C | LQI: 109 |dbm: -60.35| short addr: 00:8f
 Sensor 1 | count: 113 | 11.90°C | LQI: 103 |dbm: -62.45| short addr: 00:8f
 Sensor 1 | count: 114 | 11.90°C | LQI: 103 |dbm: -62.45| short addr: 00:8f
 Sensor 1 | count: 115 | 11.90°C | LQI: 97 |dbm: -64.55| short addr: 00:8f
 Sensor 1 | count: 116 | 11.90°C | LQI: 100 |dbm: -63.5| short addr: 00:8f
 Sensor 1 | count: 117 | 11.90°C | LQI: 97 |dbm: -64.55| short addr: 00:8f
 Sensor 1 | count: 118 | 11.90°C | LQI: 97 |dbm: -64.55| short addr: 00:8f
 Sensor 1 | count: 119 | 11.90°C | LQI: 100 |dbm: -63.5| short addr: 00:8f
 Sensor 1 | count: 120 | 11.90°C | LQI: 103 |dbm: -62.45| short addr: 00:8f
 Sensor 1 | count: 121 | 11.90°C | LQI: 103 |dbm: -62.45| short addr: 00:8f
 Sensor 1 | count: 122 | 11.90°C | LQI: 106 |dbm: -61.4| short addr: 00:8f
 Sensor 1 | count: 123 | 11.90°C | LQI: 106 |dbm: -61.4| short addr: 00:8f
 Sensor 1 | count: 124 | 11.90°C | LQI: 91 |dbm: -66.65| short addr: 00:8f
 Sensor 1 | count: 125 | 11.90°C | LQI: 103 |dbm: -62.45| short addr: 00:8f
 Sensor 1 | count: 126 | 11.90°C | LQI: 103 |dbm: -62.45| short addr: 00:8f
 Sensor 1 | count: 127 | 11.90°C | LQI: 106 |dbm: -61.4| short addr: 00:8f
 Sensor 1 | count: 128 | 11.90°C | LQI: 100 |dbm: -63.5| short addr: 00:8f
 Sensor 1 | count: 129 | 11.90°C | LQI: 106 |dbm: -61.4| short addr: 00:8f
 Sensor 1 | count: 130 | 11.90°C | LQI: 109 |dbm: -60.35| short addr: 00:8f
 Sensor 1 | count: 131 | 11.90°C | LQI: 109 |dbm: -60.35| short addr: 00:8f
 Sensor 1 | count: 132 | 11.90°C | LQI: 109 |dbm: -60.35| short addr: 00:8f
 Sensor 1 | count: 133 | 11.90°C | LQI: 112 |dbm: -59.3| short addr: 00:8f
 Sensor 1 | count: 134 | 11.90°C | LQI: 112 |dbm: -59.3| short addr: 00:8f

Sensor 1 | count: 1 | 20.01°C | LQI: 100 |dbm: -63.5| short addr: 00:1e
 Sensor 1 | count: 2 | 20.01°C | LQI: 97 |dbm: -64.55| short addr: 00:1e
 Sensor 1 | count: 3 | 20.01°C | LQI: 94 |dbm: -65.6| short addr: 00:1e
 Sensor 1 | count: 4 | 20.01°C | LQI: 94 |dbm: -65.6| short addr: 00:1e
 Sensor 1 | count: 5 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e
 Sensor 1 | count: 6 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:1e
 Sensor 1 | count: 7 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:1e
 Sensor 1 | count: 8 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:1e
 Sensor 1 | count: 9 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e
 Sensor 1 | count: 10 | 20.01°C | LQI: 97 |dbm: -64.55| short addr: 00:1e

Sensor 1 | count: 1 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:1e
 Sensor 1 | count: 2 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:1e
 Sensor 1 | count: 3 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e
 Sensor 1 | count: 4 | 20.01°C | LQI: 97 |dbm: -64.55| short addr: 00:1e
 Sensor 1 | count: 5 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e
 Sensor 1 | count: 6 | 20.01°C | LQI: 100 |dbm: -63.5| short addr: 00:1e
 Sensor 1 | count: 7 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e
 Sensor 1 | count: 8 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e
 Sensor 1 | count: 9 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e
 Sensor 1 | count: 10 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e


Sensor 1 | count: 1 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e
 Sensor 1 | count: 2 | 20.01°C | LQI: 100 |dbm: -63.5| short addr: 00:1e
 Sensor 1 | count: 3 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:1e
 Sensor 1 | count: 4 | 20.01°C | LQI: 100 |dbm: -63.5| short addr: 00:1e
 Sensor 1 | count: 5 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:1e
 Sensor 1 | count: 6 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e
 Sensor 1 | count: 7 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e
 Sensor 1 | count: 8 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:1e
 Sensor 1 | count: 9 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e
 Sensor 1 | count: 10 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e

Sensor 1 | count: 1 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e
 Sensor 1 | count: 2 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e
 Sensor 1 | count: 3 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:1e
 Sensor 1 | count: 4 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e
 Sensor 1 | count: 5 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:1e
 Sensor 1 | count: 6 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:1e
 Sensor 1 | count: 7 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e
 Sensor 1 | count: 8 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e
 Sensor 1 | count: 9 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:1e
 Sensor 1 | count: 10 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:1e

Sensor 1 | count: 1 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:1e
 Sensor 1 | count: 2 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:1e
 Sensor 1 | count: 3 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e
 Sensor 1 | count: 4 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:1e
 Sensor 1 | count: 5 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:1e
 Sensor 1 | count: 6 | 20.01°C | LQI: 106 |dbm: -61.4| short addr: 00:1e
 Sensor 1 | count: 7 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e
 Sensor 1 | count: 8 | 20.01°C | LQI: 100 |dbm: -63.5| short addr: 00:1e
 Sensor 1 | count: 9 | 20.01°C | LQI: 109 |dbm: -60.35| short addr: 00:1e
 Sensor 1 | count: 10 | 20.01°C | LQI: 103 |dbm: -62.45| short addr: 00:1e


