Sensor 1 | count: 7 | 11.90°C | LQI: 49 | dbm: -81.35 | short addr: 00:24
Sensor 1 | count: 8 | 11.90°C | LQI: 64 | dbm: -76.10 | short addr: 00:24
Sensor 1 | count: 9 | 11.90°C | LQI: 67 | dbm: -75.05 | short addr: 00:24
Sensor 1 | count: 10 | 11.90°C | LQI: 70 | dbm: -74.00 | short addr: 00:24
Sensor 1 | count: 11 | 11.90°C | LQI: 70 | dbm: -74.00 | short addr: 00:24
Sensor 1 | count: 12 | 11.90°C | LQI: 58 | dbm: -78.20 | short addr: 00:24
Sensor 1 | count: 13 | 11.90°C | LQI: 61 | dbm: -77.15 | short addr: 00:24
Sensor 1 | count: 14 | 11.90°C | LQI: 58 | dbm: -78.20 | short addr: 00:24
Sensor 1 | count: 15 | 11.90°C | LQI: 58 | dbm: -78.20 | short addr: 00:24
Sensor 1 | count: 16 | 11.90°C | LQI: 58 | dbm: -78.20 | short addr: 00:24
Sensor 1 | count: 17 | 11.90°C | LQI: 58 | dbm: -78.20 | short addr: 00:24
Sensor 1 | count: 18 | 11.90°C | LQI: 58 | dbm: -78.20 | short addr: 00:24
Sensor 1 | count: 19 | 11.90°C | LQI: 58 | dbm: -78.20 | short addr: 00:24


Sensor 1 | count: 2 | 11.90°C | LQI: 22 | dbm: -90.80 | short addr: 00:b0
Sensor 1 | count: 3 | 11.90°C | LQI: 31 | dbm: -87.65 | short addr: 00:b0
Sensor 1 | count: 4 | 11.90°C | LQI: 31 | dbm: -87.65 | short addr: 00:b0
Sensor 1 | count: 5 | 11.90°C | LQI: 31 | dbm: -87.65 | short addr: 00:b0
Sensor 1 | count: 6 | 11.90°C | LQI: 34 | dbm: -86.60 | short addr: 00:b0
Sensor 1 | count: 7 | 11.90°C | LQI: 34 | dbm: -86.60 | short addr: 00:b0
Sensor 1 | count: 8 | 11.90°C | LQI: 34 | dbm: -86.60 | short addr: 00:b0
Sensor 1 | count: 9 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b0
Sensor 1 | count: 10 | 11.90°C | LQI: 37 | dbm: -85.55 | short addr: 00:b0
Sensor 1 | count: 11 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b0
Sensor 1 | count: 12 | 11.90°C | LQI: 37 | dbm: -85.55 | short addr: 00:b0
Sensor 1 | count: 13 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b0
Sensor 1 | count: 14 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b0
Sensor 1 | count: 15 | 11.90°C | LQI: 40 | dbm: -84.50 | short addr: 00:b0
Sensor 1 | count: 16 | 11.90°C | LQI: 43 | dbm: -83.45 | short addr: 00:b0
Sensor 1 | count: 17 | 11.90°C | LQI: 46 | dbm: -82.40 | short addr: 00:b0
Sensor 1 | count: 18 | 11.90°C | LQI: 34 | dbm: -86.60 | short addr: 00:b0
