Sensor 1 | count: 109 | 11.90°C | LQI: 13 |dbm: -93.95| short addr: 00:11
 Sensor 1 | count: 110 | 11.90°C | LQI: 13 |dbm: -93.95| short addr: 00:11
 Sensor 1 | count: 111 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:11
 Sensor 1 | count: 112 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:11
 Sensor 1 | count: 113 | 11.90°C | LQI: 10 |dbm: -95.0| short addr: 00:11
 Sensor 1 | count: 114 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 115 | 11.90°C | LQI: 16 |dbm: -92.9| short addr: 00:11
 Sensor 1 | count: 116 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 117 | 11.90°C | LQI: 16 |dbm: -92.9| short addr: 00:11
 Sensor 1 | count: 118 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 119 | 11.90°C | LQI: 16 |dbm: -92.9| short addr: 00:11
 Sensor 1 | count: 120 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:11
 Sensor 1 | count: 121 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:11
 Sensor 1 | count: 123 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:11
 Sensor 1 | count: 124 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:11
 Sensor 1 | count: 125 | 11.90°C | LQI: 13 |dbm: -93.95| short addr: 00:11
 Sensor 1 | count: 126 | 11.90°C | LQI: 13 |dbm: -93.95| short addr: 00:11
 Sensor 1 | count: 127 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 128 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 129 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 130 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 131 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 133 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 134 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 135 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 136 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 137 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 138 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 139 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 140 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:11
 Sensor 1 | count: 141 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 142 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 143 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 144 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 145 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
