 Sensor 1 | count: 74 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:e9
 Sensor 1 | count: 75 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:e9
 Sensor 1 | count: 76 | 11.90°C | LQI: 28 |dbm: -88.7| short addr: 00:e9
 Sensor 1 | count: 77 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:e9
 Sensor 1 | count: 78 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:e9
 Sensor 1 | count: 79 | 11.90°C | LQI: 28 |dbm: -88.7| short addr: 00:e9
 Sensor 1 | count: 80 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:e9
 Sensor 1 | count: 81 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:e9
 Sensor 1 | count: 82 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:e9
 Sensor 1 | count: 83 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:e9
 Sensor 1 | count: 84 | 11.90°C | LQI: 28 |dbm: -88.7| short addr: 00:e9
 Sensor 1 | count: 85 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:e9
 Sensor 1 | count: 86 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:e9
 Sensor 1 | count: 87 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:e9
 Sensor 1 | count: 88 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:e9
 Sensor 1 | count: 89 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:e9
 Sensor 1 | count: 90 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:e9
 Sensor 1 | count: 91 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:e9
 Sensor 1 | count: 92 | 11.90°C | LQI: 28 |dbm: -88.7| short addr: 00:e9
 Sensor 1 | count: 93 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:e9
 Sensor 1 | count: 94 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:e9
 Sensor 1 | count: 95 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:e9
 Sensor 1 | count: 96 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:e9
 Sensor 1 | count: 97 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:e9
 Sensor 1 | count: 98 | 11.90°C | LQI: 16 |dbm: -92.9| short addr: 00:e9
 Sensor 1 | count: 99 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:e9
 Sensor 1 | count: 100 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:e9
 Sensor 1 | count: 101 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:e9
 Sensor 1 | count: 102 | 11.90°C | LQI: 16 |dbm: -92.9| short addr: 00:e9
 Sensor 1 | count: 103 | 11.90°C | LQI: 13 |dbm: -93.95| short addr: 00:e9
 Sensor 1 | count: 104 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:e9
 Sensor 1 | count: 105 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:e9
 Sensor 1 | count: 106 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:e9
 Sensor 1 | count: 107 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:e9
 Sensor 1 | count: 108 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:e9
 Sensor 1 | count: 109 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:e9
 Sensor 1 | count: 110 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:e9
 Sensor 1 | count: 111 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:e9
 Sensor 1 | count: 112 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:e9
 Sensor 1 | count: 113 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:e9
 Sensor 1 | count: 114 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:e9
 Sensor 1 | count: 115 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:e9
 Sensor 1 | count: 116 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:e9
 Sensor 1 | count: 117 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:e9
 Sensor 1 | count: 118 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:e9
 Sensor 1 | count: 119 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:e9
 Sensor 1 | count: 120 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:e9
 Sensor 1 | count: 121 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:e9
 Sensor 1 | count: 122 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:e9
 Sensor 1 | count: 123 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:e9
 Sensor 1 | count: 124 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:e9
 Sensor 1 | count: 125 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:e9
 Sensor 1 | count: 126 | 11.90°C | LQI: 16 |dbm: -92.9| short addr: 00:e9
 Sensor 1 | count: 127 | 11.90°C | LQI: 16 |dbm: -92.9| short addr: 00:e9
 Sensor 1 | count: 128 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:e9
 Sensor 1 | count: 129 | 11.90°C | LQI: 16 |dbm: -92.9| short addr: 00:e9
 Sensor 1 | count: 130 | 11.90°C | LQI: 13 |dbm: -93.95| short addr: 00:e9
 Sensor 1 | count: 131 | 11.90°C | LQI: 16 |dbm: -92.9| short addr: 00:e9

Sensor 1 | count: 109 | 11.90°C | LQI: 13 |dbm: -93.95| short addr: 00:11
 Sensor 1 | count: 110 | 11.90°C | LQI: 13 |dbm: -93.95| short addr: 00:11
 Sensor 1 | count: 111 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:11
 Sensor 1 | count: 112 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:11
 Sensor 1 | count: 113 | 11.90°C | LQI: 10 |dbm: -95.0| short addr: 00:11
 Sensor 1 | count: 114 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 115 | 11.90°C | LQI: 16 |dbm: -92.9| short addr: 00:11
 Sensor 1 | count: 116 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 117 | 11.90°C | LQI: 16 |dbm: -92.9| short addr: 00:11
 Sensor 1 | count: 118 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 119 | 11.90°C | LQI: 16 |dbm: -92.9| short addr: 00:11
 Sensor 1 | count: 120 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:11
 Sensor 1 | count: 121 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:11
 Sensor 1 | count: 123 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:11
 Sensor 1 | count: 124 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:11
 Sensor 1 | count: 125 | 11.90°C | LQI: 13 |dbm: -93.95| short addr: 00:11
 Sensor 1 | count: 126 | 11.90°C | LQI: 13 |dbm: -93.95| short addr: 00:11
 Sensor 1 | count: 127 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 128 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 129 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 130 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 131 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 133 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 134 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 135 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 136 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
 Sensor 1 | count: 137 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 138 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 139 | 11.90°C | LQI: 19 |dbm: -91.85| short addr: 00:11
 Sensor 1 | count: 140 | 11.90°C | LQI: 25 |dbm: -89.75| short addr: 00:11
 Sensor 1 | count: 141 | 11.90°C | LQI: 22 |dbm: -90.8| short addr: 00:11
