 Sensor 1 | count: 134 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:e9
 Sensor 1 | count: 135 | 11.90°C | LQI: 10 |dbm: -95.0| short addr: 00:e9
 Sensor 1 | count: 136 | 11.90°C | LQI: 16 |dbm: -92.9| short addr: 00:e9
 Sensor 1 | count: 137 | 11.90°C | LQI: 16 |dbm: -92.9| short addr: 00:e9
 Sensor 1 | count: 138 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:e9
 Sensor 1 | count: 139 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 144 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 145 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 146 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 148 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 171 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 172 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 173 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 174 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:e9
 Sensor 1 | count: 175 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:e9
 Sensor 1 | count: 176 | 11.90°C | LQI: 10 |dbm: -95.0| short addr: 00:e9
 Sensor 1 | count: 177 | 11.90°C | LQI: 10 |dbm: -95.0| short addr: 00:e9
 Sensor 1 | count: 178 | 11.90°C | LQI: 13 |dbm: -93.95| short addr: 00:e9
 Sensor 1 | count: 179 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 180 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 181 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 182 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:e9
 Sensor 1 | count: 183 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:e9
 Sensor 1 | count: 184 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 185 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:e9
 Sensor 1 | count: 186 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:e9
 Sensor 1 | count: 187 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 188 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 189 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 190 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
  Sensor 1 | count: 197 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 198 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 199 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 200 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 201 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 202 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 203 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 204 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:e9
 Sensor 1 | count: 206 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:e9
  Sensor 1 | count: 212 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 213 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:e9
 Sensor 1 | count: 214 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 215 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 216 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 217 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:e9
 Sensor 1 | count: 218 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 219 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:e9
 Sensor 1 | count: 220 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 223 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:e9
  Sensor 1 | count: 228 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:e9
 Sensor 1 | count: 229 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:e9
 Sensor 1 | count: 231 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:e9
 Sensor 1 | count: 232 | 11.90°C | LQI: 1 |dbm: -98.15| short addr: 00:e9
 Sensor 1 | count: 233 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:e9
