 Sensor 1 | count: 10 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 11 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:90
 Sensor 1 | count: 12 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 14 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 15 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 16 | 11.90°C | LQI: 10 |dbm: -95.0| short addr: 00:90
 Sensor 1 | count: 17 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:90
 Sensor 1 | count: 18 | 11.90°C | LQI: 10 |dbm: -95.0| short addr: 00:90
 Sensor 1 | count: 19 | 11.90°C | LQI: 1 |dbm: -98.15| short addr: 00:90
 Sensor 1 | count: 20 | 11.90°C | LQI: 10 |dbm: -95.0| short addr: 00:90
 Sensor 1 | count: 21 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 22 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 23 | 11.90°C | LQI: 10 |dbm: -95.0| short addr: 00:90
 Sensor 1 | count: 26 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 29 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 30 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 31 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 34 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 35 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 36 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 37 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 38 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 39 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 40 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 41 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 43 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 45 | 11.90°C | LQI: 1 |dbm: -98.15| short addr: 00:90
 Sensor 1 | count: 46 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 47 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 48 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 49 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 52 | 11.90°C | LQI: 1 |dbm: -98.15| short addr: 00:90
 Sensor 1 | count: 53 | 11.90°C | LQI: 1 |dbm: -98.15| short addr: 00:90
 Sensor 1 | count: 54 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 56 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 57 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 58 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 59 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 60 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 61 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 62 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 64 | 11.90°C | LQI: 10 |dbm: -95.0| short addr: 00:90
 Sensor 1 | count: 65 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 67 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 68 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 69 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 70 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 71 | 11.90°C | LQI: 1 |dbm: -98.15| short addr: 00:90
 Sensor 1 | count: 72 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 73 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 74 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 76 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 77 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 78 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 79 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 81 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 82 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 83 | 11.90°C | LQI: 10 |dbm: -95.0| short addr: 00:90
 Sensor 1 | count: 85 | 11.90°C | LQI: 1 |dbm: -98.15| short addr: 00:90
 Sensor 1 | count: 86 | 11.90°C | LQI: 10 |dbm: -95.0| short addr: 00:90
 Sensor 1 | count: 87 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 88 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 89 | 11.90°C | LQI: 0 |dbm: -98.5| short addr: 00:90
 Sensor 1 | count: 92 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 94 | 11.90°C | LQI: 4 |dbm: -97.1| short addr: 00:90
 Sensor 1 | count: 95 | 11.90°C | LQI: 10 |dbm: -95.0| short addr: 00:90
 Sensor 1 | count: 96 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:90
 Sensor 1 | count: 97 | 11.90°C | LQI: 10 |dbm: -95.0| short addr: 00:90
 Sensor 1 | count: 98 | 11.90°C | LQI: 1 |dbm: -98.15| short addr: 00:90
 Sensor 1 | count: 99 | 11.90°C | LQI: 10 |dbm: -95.0| short addr: 00:90
 Sensor 1 | count: 100 | 11.90°C | LQI: 7 |dbm: -96.05| short addr: 00:90
