C:\Users\郷平>python test.py
Serial port opened successfully.
 Sensor 2 | count: 1 | 22.9°C | LQI: 97 | dBm: -64.55 | short addr: 00:1b
 Sensor 2 | count: 2 | 23.2°C | LQI: 76 | dBm: -71.9 | short addr: 00:1b
 Sensor 2 | count: 3 | 23.3°C | LQI: 40 | dBm: -84.5 | short addr: 00:1b
 Sensor 2 | count: 4 | 23.3°C | LQI: 22 | dBm: -90.8 | short addr: 00:1b
 Sensor 2 | count: 5 | 23.4°C | LQI: 85 | dBm: -68.75 | short addr: 00:1b
 Sensor 2 | count: 6 | 23.5°C | LQI: 67 | dBm: -75.05 | short addr: 00:1b
 Sensor 2 | count: 7 | 23.6°C | LQI: 67 | dBm: -75.05 | short addr: 00:1b
 Sensor 2 | count: 8 | 24.0°C | LQI: 61 | dBm: -77.15 | short addr: 00:1b
 Sensor 2 | count: 9 | 24.1°C | LQI: 46 | dBm: -82.4 | short addr: 00:1b
 Sensor 2 | count: 10 | 24.2°C | LQI: 67 | dBm: -75.05 | short addr: 00:1b
 Sensor 2 | count: 11 | 24.3°C | LQI: 82 | dBm: -69.8 | short addr: 00:1b
 Sensor 2 | count: 12 | 24.5°C | LQI: 79 | dBm: -70.85 | short addr: 00:1b
 Sensor 2 | count: 13 | 24.6°C | LQI: 76 | dBm: -71.9 | short addr: 00:1b
 Sensor 2 | count: 14 | 24.8°C | LQI: 31 | dBm: -87.65 | short addr: 00:1b
 Sensor 2 | count: 15 | 25.1°C | LQI: 64 | dBm: -76.1 | short addr: 00:1b
 Sensor 2 | count: 16 | 25.4°C | LQI: 85 | dBm: -68.75 | short addr: 00:1b
 Sensor 2 | count: 17 | 25.8°C | LQI: 85 | dBm: -68.75 | short addr: 00:1b
 Sensor 2 | count: 18 | 25.6°C | LQI: 85 | dBm: -68.75 | short addr: 00:1b
 Sensor 2 | count: 19 | 25.4°C | LQI: 82 | dBm: -69.8 | short addr: 00:1b
